 Provinsi	AHH
ACEH	70.4
SUMATERA UTARA	70.0
SUMATERA BARAT	70.2
RIAU	72.3
JAMBI	71.8
SUMATERA SELATAN	70.7
BENGKULU	70.0
LAMPUNG	71.3
KEP. BANGKA BELITUNG	71.3
KEP. RIAU	71.0
DKI JAKARTA	73.7
JAWA BARAT	74.1
JAWA TENGAH	74.8
DI YOGYAKARTA	75.2
JAWA TIMUR	72.2
BANTEN	70.8
BALI	73.0
NUSA TENGGARA BARAT	67.5
NUSA TENGGARA TIMUR	67.8
KALIMANTAN BARAT	71.4
KALIMANTAN TENGAH	70.3
KALIMANTAN SELATAN	69.5
KALIMANTAN TIMUR	74.8
KALIMANTAN UTARA	72.7
SULAWESI UTARA	72.5
SULAWESI TENGAH	69.2
SULAWESI SELATAN	71.3
SULAWESI TENGGARA	71.5
GORONTALO	68.9
SULAWESI BARAT	66.1
MALUKU	66.8
MALUKU UTARA	69.2
PAPUA BARAT	66.8
PAPUA	66.5
